"","id","dorm","gender","race","gap_year","international","pre-orientation","sports","first_id","first_meet","second_id","second_meet","third_id","third_meet","fourth_id","fourth-meet","most_id","know_street","know_by_name","know_annenberg","satisfied","extra"
"110",495,"Weld Hall","Male","White, Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","Yes (Club)",236,"Dorm",749,"Dorm",1545,"Dorm",550,"Religious Organization",236,"50-100","0-50","0-20","Neutral",NA
"111",534,"Matthews Hall","Male","White, Hispanic or Latino","No","Yes","FIP - First-Year International Program","Yes (Club)",355,"Social Events",594,"We met at a Harvard Club of Spain event in Madrid",322,"Pre-Orientation",412,"Pre-Orientation",1512,"500-1000","250-500","100-250","Very Satisfied",NA
"112",910,"Matthews Hall","Female","Black or African American","No","No","None","No",423,"Classes, Social Events, Religious Organization",303,"Social Events",346,"Classes, Religious Organization",1371,"Religious Organization",303,"50-100","50-100","20-50","Satisfied",NA
"113",60,"Weld Hall","Female","Hispanic or Latino","No","No","FUP - First-Year Urban Program","No",1429,"Dorm",1654,"high school",1108,"Mutual Friends",100,"Mutual Friends",1108,"0-50","0-50","0-20","Satisfied",NA
"114",1269,"Apley Court","Female","White","No","No","FOP - First-Year Outdoor Program","No",369,"Pre-Orientation",936,"Dorm",233,"Pre-Orientation",1653,"Dorm",1575,"100-250","100-250","20-50","Very Satisfied",NA
"115",1488,"Canaday Hall","Male","White","No","No","FUP - First-Year Urban Program","No",154,"Pre-Orientation",1062,"Creative/Performing Arts Organization",731,"Visitas",884,"Pre-Orientation",1011,"250-500","50-100","20-50","Dissatisfied","Very cliquey (black group, athletes, etc)"
"116",679,"Canaday Hall","Female","White, Hispanic or Latino","No","No","FOP - First-Year Outdoor Program","Yes (Varsity)",206,"Athletics",1442,"Dorm",1233,"Dorm",725,"High school",1654,"100-250","50-100","20-50","Very Satisfied",NA
"117",329,"Canaday Hall","Female","White","No","No","FCU - Fall Clean-Up with Dorm Crew","Yes (Club)",543,"Classes, Dorm, Pre-Orientation",443,"Dorm, Social Events, Religious Organization",1503,"Classes, Social Events, Mutual Friends",1425,"Classes, Pre-Orientation, Social Events, Mutual Friends",1575,"0-50","50-100","0-20","Neutral",NA
"118",832,"Wigglesworth Hall","Female","Asian / Pacific Islander","No","No","FAP - First-Year Arts Program","Yes (Club)",618,"Roommate",151,"Roommate",1204,"Classes, Mutual Friends",1579,"Roommate",1575,"100-250","100-250","250-500","Satisfied",NA
"119",69,"Thayer Hall","Female","Black or African American","No","No","FCU - Fall Clean-Up with Dorm Crew","No",185,"Classes, Mutual Friends",1223,"Pre-Orientation, Social Media, VISITAS",37,"Pre-Orientation, Social Media, VISITAS",1036,"Pre-Orientation, VISITAS",1078,"50-100","50-100","0-20","Satisfied",NA
"120",347,"Canaday Hall","Male","Black or African American","No","No","FCU - Fall Clean-Up with Dorm Crew","Yes (Club)",636,"Dorm",783,"Pre-Orientation",468,"Dorm",333,"Dorm",636,"500-1000","250-500","20-50","Satisfied",NA
"121",492,"Massachusetts Hall","Female","White","Yes","Yes","FIP - First-Year International Program, FCU - Fall Clean-Up with Dorm Crew","No",243,"Pre-Orientation",950,"Classes",1375,"Mutual Friends",766,"Religious Organization",1654,"50-100","50-100","0-20","Neutral",NA
"122",968,"Holworthy Hall","Male","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","Yes (Varsity)",1508,"Pre-Orientation",681,"Dorm",1517,"Classes",854,"Pre-Orientation, Mutual Friends",1512,"250-500","50-100","20-50","Dissatisfied",NA
"123",1207,"Grays Hall","Male","Asian / Pacific Islander","No","Yes","FIP - First-Year International Program","Yes (Club)",1023,"Classes, Pre-Orientation",1643,"Classes",143,"Pre-Orientation",1219,"Dorm",175,"100-250","50-100","0-20","Satisfied",NA
"124",699,"Canaday Hall","Female","Black or African American","No","No","FIP - First-Year International Program, FCU - Fall Clean-Up with Dorm Crew","No",1608,"Pre-Orientation",1654,"Pre-Orientation, Cultural/Racial Organization, Religious Organization",NA,"Cultural/Racial Organization",1445,"Mutual Friends, Cultural/Racial Organization",423,"50-100","0-50","0-20","Neutral",NA
"125",1327,"Holworthy Hall","Male","White","No","Yes","FIP - First-Year International Program, FCU - Fall Clean-Up with Dorm Crew","Yes (Varsity)",1029,"High school",1526,"Pre-Orientation",222,"Athletics",96,"Pre-Orientation",1654,"250-500","100-250","20-50","Very Satisfied","Annenberg is great"
"126",1412,"Canaday Hall","Male","White","No","No","FCU - Fall Clean-Up with Dorm Crew","No",1147,"Dorm",141,"Classes, Dorm",1159,"Classes",1011,"Classes",1011,"100-250","50-100","250-500","Very Satisfied",NA
"127",791,"Wigglesworth Hall","Female","Asian / Pacific Islander","No","Yes","FOP - First-Year Outdoor Program","Yes (Club)",1461,"Classes, Social Events, Mutual Friends",867,"Social Events, Creative/Performing Arts Organization",990,"Dorm",1569,"Classes, Social Events, Mutual Friends",1011,"100-250","50-100","20-50","Satisfied",NA
"128",1490,"Pennypacker Hall","Male","White","Yes","Yes","None","Yes (Varsity)",101,"Mutual Friends",403,"Athletics",1458,"Athletics",1410,"Athletics",1410,"50-100","0-50","0-20","Satisfied",NA
"129",123,"Holworthy Hall","Female","White","No","No","FOP - First-Year Outdoor Program","Yes (Varsity)",201,"Pre-Orientation",1352,"Athletics",677,"Dorm",404,"Mutual Friends",1309,"100-250","50-100","20-50","Satisfied",NA
"130",1640,"Grays Hall","Female","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","Yes (Club)",1570,"Visitas",85,"Mutual Friends",873,"Mutual Friends",875,"Mutual Friends",1575,"100-250","100-250","20-50","Satisfied",NA
"131",138,"Grays Hall","Male","White","No","No","FOP - First-Year Outdoor Program","Yes (Club)",1312,"Classes, Social Events, Mutual Friends, Social Media, Academic/Pre-Professional Organization",167,"Mutual Friends, Academic/Pre-Professional Organization",1395,"Classes, Social Events, Academic/Pre-Professional Organization",132,"Classes, Social Events, Mutual Friends, Academic/Pre-Professional Organization",355,"250-500","100-250","20-50","Satisfied",NA
"132",562,"Canaday Hall","Male","Asian / Pacific Islander","No","No","FCU - Fall Clean-Up with Dorm Crew","No",1344,"Previous summer camp",872,"Classes, Social Events, Mutual Friends, Academic/Pre-Professional Organization",1444,"Classes, Previous summer camp",446,"Pre-Orientation, Mutual Friends",710,"250-500","100-250","20-50","Very Satisfied",NA
"133",1005,"Weld Hall","Female","White","No","Yes","None","Yes (Intermural)",625,"Athletics, We played ice hockey for 3 years together",485,"Social Events",1598,"Dorm",1189,"Dorm",145,"50-100","0-50","20-50","Neutral",NA
"134",700,"Thayer Hall","Female","Black or African American","Yes","No","None","No",1176,"Dorm",933,"Dorm",80,"Dorm",189,"Dorm",1348,"0-50","0-50","20-50","Neutral","It can be pretty cliquey, but overall I feel like Harvard’s social environment is inclusive."
"135",10,"Canaday Hall","Male","White","Yes","No","None","Yes (Varsity)",1358,"Classes, Dorm, Social Events, Mutual Friends, Social Media, Athletics",515,"Classes, Dorm, Social Events, Mutual Friends, Social Media, Athletics",1441,"Classes, Dorm, Social Events, Mutual Friends, Social Media, Athletics",441,"Classes, Dorm, Social Events, Mutual Friends, Social Media, Athletics",515,"100-250","50-100","0-20","Very Satisfied",NA
"136",1370,"Weld Hall","Female","White","No","No","FOP - First-Year Outdoor Program","No",762,"Dorm",512,"Pre-Orientation",1278,"Social Events, Mutual Friends",524,"Academic/Pre-Professional Organization",806,"100-250","50-100","20-50","Satisfied",NA
"137",1586,"Grays Hall","Female","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No",1439,"Dorm",752,"Religious Organization",794,"Mutual Friends",852,"Religious Organization",1575,"100-250","100-250","20-50","Dissatisfied",NA
"138",390,"Pennypacker Hall","Female","White","No","No","FOP - First-Year Outdoor Program","No",1401,"Dorm",75,"Dorm",57,"Religious Organization",969,"Dorm",1399,"500-1000","250-500","50-100","Very Satisfied",NA
"139",770,"Greenough Hall","Female","White, Asian / Pacific Islander","No","No","FCU - Fall Clean-Up with Dorm Crew","No",584,"High School",846,"Classes, Dorm",1187,"Pre-Orientation",1383,"Dorm",926,"250-500","100-250","20-50","Satisfied","I’ve found that people I’ve met through preorientation/the first year retreat are often the ones I actually end up spending time with. Also living in the union dorms I definitely spend more time with people who live near me. And being premed (potentially) means I’ve bonded with a lot of people over having to take those big intro classes. I didn’t think meeting people over orientation was a good way to actually make friends because we were all just meeting so many new people every day."
"140",1618,"Weld Hall","Male","Asian / Pacific Islander","Yes","No","FOP - First-Year Outdoor Program","No",1357,"Social Media",1568,"Mutual Friends",1138,"Academic/Pre-Professional Organization",163,"Annenberg",99,"100-250","50-100","20-50","Satisfied",NA
"141",1098,"Apley Court","Male","Black or African American, Asian / Pacific Islander","No","No","None","No",168,"Social Events, Mutual Friends, Recreational Organization",433,"Classes, Social Events, Mutual Friends, Recreational Organization",36,"Social Events, Mutual Friends, Social Media, Recreational Organization",887,"Classes, Social Events, Mutual Friends, Recreational Organization",1575,"500-1000","500-1000","50-100","Neutral","There's still apprehension for people to merge friend groups due to varying reasons like popularity or unease of hanging out with people that aren't like them."
"142",1315,"Canaday Hall","Male","White","No","No","FOP - First-Year Outdoor Program","No",46,"Social Events",921,"Dorm",1379,"Mutual Friends",1518,"Dorm",1379,"100-250","50-100","250-500","Very Satisfied",NA
"143",741,"Pennypacker Hall","Male","Asian / Pacific Islander","No","No","None","No",1329,"Dorm",969,"Dorm",75,"Dorm",271,"Dorm",75,"100-250","50-100","0-20","Neutral",NA
"144",1395,"Holworthy Hall","Female","White","No","No","FUP - First-Year Urban Program","No",580,"Social Events",167,"Classes, Social Events, Mutual Friends, Government/Politics Organization",1312,"Pre-Orientation",138,"Social Media",1575,"250-500","250-500","20-50","Satisfied",NA
"145",1265,"Weld Hall","Female","White","No","No","None","Yes (Varsity)",590,"Athletics",1193,"Athletics",21,"Athletics",43,"Athletics",1395,"0-50","0-50","0-20","Very Satisfied","It helps to join social organizations. I haven't made many friends from classes alone."
"146",580,"Hurlbut Hall","Male","White, Ashkenazi Jewish","No","No","FOP - First-Year Outdoor Program","Yes (Club)",1395,"Social Events",1068,"Dorm",138,"Visitas",1312,"Mutual Friends",1654,"250-500","50-100","20-50","Satisfied",NA
"147",1044,"Weld Hall","Female","White, Arabic or Middle Eastern","No","No","None","No",1568,"Mutual Friends",113,"Mutual Friends, Visitas",1124,"Social Events, Mutual Friends, Visitas",1178,"Mutual Friends",1575,"50-100","0-50","20-50","Satisfied",NA
"148",933,"Thayer Hall","Female","White","No","No","FUP - First-Year Urban Program","No",251,"Annenberg",1176,"Dorm",134,"Pre-Orientation",80,"Dorm",1083,"100-250","50-100","0-20","Very Satisfied",NA
"149",589,"Canaday Hall","Female","White","No","No","None","No",18,"Dorm",700,"Classes",1514,"Dorm",1232,"Dorm",1294,"50-100","0-50","0-20","Dissatisfied","Everyone wants to network, not make friends."
"150",144,"Canaday Hall","Female","White","No","No","None","No",610,"grew up with him",966,"Mutual Friends",985,"Mutual Friends",573,"Mutual Friends",610,"50-100","0-50","0-20","Satisfied",NA
"151",1047,"Thayer Hall","Female","White, Hispanic or Latino, Black or African American","No","No","FOP - First-Year Outdoor Program","No",1630,"Pre-Orientation",753,"Mutual Friends",186,"Dorm",1345,"Mutual Friends",1575,"100-250","50-100","50-100","Very Satisfied",NA
"152",876,"Lionel Hall","Female","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","Yes (Club)",120,"Classes",220,"Classes, Dorm",280,"Classes, Dorm",754,"Mutual Friends",1221,"0-50","0-50","20-50","Satisfied",NA
"153",685,"Canaday Hall","Female","Asian / Pacific Islander","No","No","FUP - First-Year Urban Program","No",1602,"Summer program in high school + is now one of my roommates",171,"Dorm",1152,"Dorm",923,"Dorm",1575,"0-50","0-50","0-20","Very Satisfied","Most people are really concerned with having everyone like them and with ""networking,"" often leading in disingenuous or transactional relationships."
"154",885,"Mower Hall","Female","Asian / Pacific Islander","No","Yes","FOP - First-Year Outdoor Program","No",291,"Dorm, Meal in Annenberg",235,"Dorm",1367,"Mutual Friends",140,"Social Events, Mutual Friends",1654,"100-250","50-100","0-20","Satisfied",NA
"155",414,"Weld Hall","Female","White","Yes","No","FOP - First-Year Outdoor Program","No",1008,"Mutual Friends",806,"Dorm",96,"Mutual Friends",42,"Pre-Orientation",304,"100-250","50-100","20-50","Very Satisfied",NA
"156",552,"Straus Hall","Male","Asian / Pacific Islander","No","No","FUP - First-Year Urban Program","No",1102,"Dorm",1013,"Pre-Orientation",872,"Pre-Orientation",1575,"Academic/Pre-Professional Organization",1444,"100-250","50-100","0-20","Neutral",NA
"157",1432,"Greenough Hall","Female","White, Hispanic or Latino","No","No","None","No",1052,"Dorm",1537,"Dorm",453,"Dorm",1279,"Dorm",1564,"50-100","50-100","0-20","Satisfied",NA
"158",491,"Matthews Hall","Male","Black or African American","Yes","Yes","FIP - First-Year International Program","No",178,"Pre-Orientation",438,"Dorm",50,"Mutual Friends",374,"Dorm",1588,"0-50","50-100","20-50","Satisfied",NA
"159",875,"Canaday Hall","Male","Asian / Pacific Islander","No","No","None","Yes (Intermural)",1570,"Mutual Friends",275,"Mutual Friends",878,"summer program",1626,"summer program",1570,"50-100","0-50","20-50","Very Satisfied",NA
"160",773,"Hurlbut Hall","Female","White","No","No","None","No",1008,"Dorm",1510,"Dorm",127,"Mutual Friends",619,"Dorm, Social Media",1654,"100-250","100-250","20-50","Very Satisfied","It can be a bit tricky at first but, I've been super lucky and have met some amazing people :)"
"161",828,"Matthews Hall","Male","White","No","No","FOP - First-Year Outdoor Program","Yes (Intermural)",1164,"Dorm",1010,"Classes, Dorm",1296,"Classes, Other Organization",1125,"Classes, Other Organization",1364,"250-500","100-250","0-20","Satisfied","Most Harvard students are terrible and I’m not sorry to not know them."
"162",1008,"Hurlbut Hall","Female","White","No","No","FOP - First-Year Outdoor Program","Yes (Varsity)",806,"Pre-Orientation",414,"Mutual Friends",773,"Dorm",194,"Athletics",42,"250-500","100-250","50-100","Very Satisfied",NA
"163",748,"Weld Hall","Male","Asian / Pacific Islander","No","Yes","FIP - First-Year International Program","Yes (Intermural)",655,"High School",82,"Dorm",493,"Dorm",843,"Cultural/Racial Organization",360,"250-500","100-250","20-50","Satisfied",NA
"164",539,"Hurlbut Hall","Female","Black or African American, Caribbean/South American","No","No","FCU - Fall Clean-Up with Dorm Crew","No",696,"Visitas",1654,"Dorm",384,"Visitas",1158,"Visitas",1570,"100-250","50-100","50-100","Satisfied","very radicalized divided environment, segmented by racial groups which is different from my personal background"
"165",1603,"Canaday Hall","Prefer not to say","Asian / Pacific Islander","No","No","FUP - First-Year Urban Program, None","Yes (Club)",1654,NA,1654,"Dorm",1654,NA,1654,"Classes, Dorm, Pre-Orientation, Social Events, Mutual Friends, Social Media, Athletics, Academic/Pre-Professional Organization, Creative/Performing Arts Organization, Cultural/Racial Organization, Religious Organization, Public Service Organization, Government/Politics Organization, Visitas",1603,"500-1000","250-500","500-1000","Neutral",NA
"166",810,"Matthews Hall","Female","Asian / Pacific Islander","No","No","None","No",1076,"Dorm",1227,"Dorm",44,"Social Events, Mutual Friends, Religious Organization",1104,"Classes, Social Events, Mutual Friends",44,"0-50","0-50","0-20","Dissatisfied","I hope that all of us get to know each other more and step out of our comfort zone to actively interact with people we haven't met yet."
"167",100,"Canaday Hall","Female","White","Yes","No","FOP - First-Year Outdoor Program","No",674,"Social Events",328,"Mutual Friends",1429,"Pre-Orientation",652,"Mutual Friends",153,"100-250","50-100","20-50","Very Satisfied",NA
"168",1270,"Holworthy Hall","Female","White","No","Yes","FIP - First-Year International Program","No",1573,"Dorm",1520,"Classes",728,"Dorm",539,"annenberg",1654,"100-250","50-100","20-50","Neutral",NA
"169",1496,"Grays Hall","Male","White","Yes","No","None","Yes (Intermural)",1015,"Classes, Dorm, Visitas",640,"Dorm",1272,"Dorm",1414,"Dorm",1399,"0-50","0-50","0-20","Very Satisfied",NA
"170",1442,"Canaday Hall","Female","White","No","No","FOP - First-Year Outdoor Program","Yes (Club)",1233,"Dorm",1238,"Athletics, Religious Organization",679,"Dorm",34,"Mutual Friends, Athletics",1575,"50-100","50-100","20-50","Very Satisfied",NA
"171",1436,"Weld Hall","Female","White","No","No","None","Yes (Varsity)",473,"Mutual Friends",154,"Mutual Friends",1470,"Cultural/Racial Organization",1582,"Classes",1470,"0-50","50-100","20-50","Neutral",NA
"172",463,"Mower Hall","Male","Hispanic or Latino","No","No","None","Yes (Intermural)",499,"Dorm",627,"Pre-Orientation",1049,"Creative/Performing Arts Organization",489,"Dorm",489,"100-250","100-250","250-500","Neutral","It can be better"
"173",747,"Canaday Hall","Male","White, Asian / Pacific Islander","No","No","FCU - Fall Clean-Up with Dorm Crew","Yes (Club)",787,"Athletics",614,"Dorm",548,"Dorm",514,"Dorm",514,"100-250","50-100","20-50","Satisfied",NA
"174",98,"Hurlbut Hall","Male","White","No","No",NA,"Yes (Varsity)",1654,NA,1654,NA,1654,NA,1654,NA,1654,"0-50","0-50","0-20","Neutral",NA
"175",927,"Weld Hall","Female","White, Hispanic or Latino","No","No","None","Yes (Varsity)",714,"I have known her since I was 3 years old. Went to school together.",81,"Went to high school with him!",567,"Went to high school with her!",657,"Went to high school with her",1654,"250-500","50-100","0-20","Dissatisfied",NA
"176",434,"Canaday Hall","Male","White","No","No","None","Yes (Varsity)",1241,"Athletics",1308,"Freshman year of high school athletics",971,"Athletics",1355,"Athletics",411,"50-100","0-50","0-20","Dissatisfied",NA
"177",647,"Wigglesworth Hall","Female","White","No","Yes","FIP - First-Year International Program","Yes (Varsity)",1099,"Athletics",402,"Athletics",1113,"Athletics",626,"Dorm",768,"50-100","0-50","0-20","Satisfied",NA
"178",231,"Wigglesworth Hall","Male","White","No","No","None","No",1220,"Dorm",342,"Knew before college",166,"Classes",138,"Knew before college",1654,"0-50","0-50","0-20","Very Dissatisfied","Wigglesworth dorm has a horrible set up for getting to know other people. The entryways are tiny and it limits you to a really small group of people that you may or may not like, especially during orientation week."
"179",1390,"Weld Hall","Male","Asian / Pacific Islander","No","No","None","No",527,"Dorm",326,"Dorm",519,"Dorm",1325,"Social Events",1170,"100-250","50-100","20-50","Satisfied","I truly think that forced mutual experiences are the best way to foster relationships; I feel that through one way or another, the average Harvard student could be friends with 60% of their class, but the opportunity to make those connections do not often arise or are easy to avoid."
"180",1570,"Grays Hall","Female","Asian / Pacific Islander","No","No","FCU - Fall Clean-Up with Dorm Crew","No",875,"Mutual Friends",1103,"Dorm",85,"Dorm, Social Media",1640,"Visitas",1575,"500-1000","100-250","20-50","Very Satisfied",NA
"181",763,"Wigglesworth Hall","Female","Asian / Pacific Islander","No","No","FUP - First-Year Urban Program","No",418,"Dorm",752,"Classes",685,"Pre-Orientation",318,"Mutual Friends",286,"50-100","0-50","0-20","Neutral",NA
"182",259,"Thayer Hall","Female","Asian / Pacific Islander","No","No","FCU - Fall Clean-Up with Dorm Crew","No",1635,"Mutual Friends",619,"Visitas",970,"Social Events",37,"Classes",1563,"100-250","100-250","20-50","Satisfied","schemey"
"183",1006,"Thayer Hall","Male","White","No","No","FAP - First-Year Arts Program","No",735,"Classes",1419,"Dorm",1226,"Dorm",400,"Dorm, Pre-Orientation",400,"100-250","50-100","20-50","Neutral",NA
"184",4,"Canaday Hall","Male","Arabic or Middle Eastern","No","Yes","FOP - First-Year Outdoor Program","Yes (Club)",742,"Academic/Pre-Professional Organization",51,"Social Events, Mutual Friends",386,"Mutual Friends",1434,"Classes, Dorm, Social Events",4,"250-500","50-100","50-100","Very Satisfied",NA
"185",1607,"Mower Hall","Female","Asian / Pacific Islander","No","No","FUP - First-Year Urban Program","No",779,"Dorm",499,"Dorm",383,"Classes, Dorm, Pre-Orientation, Social Events, Mutual Friends, Social Media",NA,"Mutual Friends",1041,"0-50","50-100","0-20","Satisfied",NA
"186",1241,"Matthews Hall","Male","White, Hispanic or Latino","No","No","FOP - First-Year Outdoor Program","Yes (Varsity)",434,"Athletics",1273,"Athletics",971,"Athletics",411,"Social Events",153,"0-50","0-50","0-20","Dissatisfied",NA
"187",602,"Pennypacker Hall","Female","White","No","No","FOP - First-Year Outdoor Program","No",1643,"Dorm",821,"Mutual Friends",966,"Dorm",1647,"Mutual Friends",400,"0-50","0-50","20-50","Very Satisfied",NA
"188",1013,"Thayer Hall","Female","Hispanic or Latino","No","No","FUP - First-Year Urban Program","No",552,"Pre-Orientation",1600,"Classes",241,"Service Starts With Summer",1134,"Classes",1134,"0-50","0-50","0-20","Dissatisfied",NA
"189",779,"Mower Hall","Female","White, Hispanic or Latino, Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No",1607,"Dorm",499,"Dorm",855,"Social Events",489,"Dorm",1575,"250-500","250-500","50-100","Very Satisfied",NA
"190",1102,"Straus Hall","Male","White","No","No","FOP - First-Year Outdoor Program","No",639,"Mutual Friends",1444,"Classes",872,"Mutual Friends",1637,"Mutual Friends",1575,"250-500","100-250","100-250","Dissatisfied",NA
"191",473,"Grays Hall","Female","White","No","No","None","No",1436,"Social Media, Cultural/Racial Organization",1578,"Classes",1470,"Mutual Friends, Cultural/Racial Organization",1103,"Dorm",1570,"0-50","0-50","0-20","Neutral","It can feel kinda cliquey"
"192",872,"Apley Court","Male","Asian / Pacific Islander","No","No","FUP - First-Year Urban Program","No",1102,"Mutual Friends, Academic/Pre-Professional Organization",1444,"Classes, Mutual Friends",562,"Classes, Mutual Friends",1344,"Classes, summer camp before college",1575,"100-250","100-250","20-50","Dissatisfied","too much isolation :(((( big sads"
"193",1374,"Straus Hall","Female","White, Hispanic or Latino","No","No","None","Yes (Varsity)",1581,"Dorm",411,"Classes, Mutual Friends",207,"Dorm",43,"Dorm",1512,"50-100","100-250","20-50","Satisfied",NA
"194",250,"Wigglesworth Hall","Male","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No",429,"Pre-Orientation",269,"Pre-Orientation",1350,"Pre-Orientation",1349,"Pre-Orientation",1654,"100-250","50-100","0-20","Neutral",NA
"195",683,"Straus Hall","Male","Hispanic or Latino","No","No","None","No",62,"Mutual Friends",224,"Dorm",165,"Dorm",1492,"Classes",165,"50-100","50-100","0-20","Satisfied",NA
"196",277,"Greenough Hall","Male","Asian / Pacific Islander","No","No","None","Yes (Club)",630,"Religious Organization",756,"Religious Organization",1401,"Classes",892,"Religious Organization",1401,"250-500","100-250","20-50","Satisfied",NA
"197",540,"Greenough Hall","Male","Black or African American","No","No","None","Yes (Club)",563,"Dorm",1654,"Academic/Pre-Professional Organization",609,"Classes",71,"Dorm",21,"250-500","250-500","100-250","Very Satisfied",NA
"198",286,"Hurlbut Hall","Female","Asian / Pacific Islander","No","No","None","No",1401,"Pre-Orientation",1467,"Classes",1086,"Social Events, Social Media",99,"Pre-Orientation, Social Events, Social Media, Government/Politics Organization",1401,"50-100","50-100","20-50","Very Satisfied","I think it's fine except that everyone is so busy making it difficult to keep up with friends sometimes."
"199",1253,"Wigglesworth Hall","Female","Hispanic or Latino","No","No","None","No",238,"Annenberg",936,"Visitas",1224,"Classes",1219,"Classes",241,"0-50","0-50","20-50","Neutral",NA
"200",644,"Grays Hall","Female","Asian / Pacific Islander","No","No","None","No",235,"Pre-Orientation",578,"Classes, Academic/Pre-Professional Organization",561,"Visitas",639,"Classes, Mutual Friends",639,"0-50","50-100","0-20","Satisfied",NA
"201",1535,"Wigglesworth Hall","Female","Hispanic or Latino, Native American or American Indian","No","No","FYRE - First-Year Retreat and Experience","No",391,"Dorm",1271,"Dorm",691,"Pre-Orientation",505,"Dorm",1654,"0-50","0-50","0-20","Neutral",NA
"202",909,"Lionel Hall","Male","Black or African American, Asian / Pacific Islander","No","No","FUP - First-Year Urban Program","No",612,"Mutual Friends",24,"Dorm",609,"Classes",1654,"Classes",587,"100-250","50-100","20-50","Satisfied",NA
"203",1173,"Wigglesworth Hall","Female","White, Hispanic or Latino","No","No","FOP - First-Year Outdoor Program","No",1493,"Dorm",1455,"Dorm",952,"Dorm",1078,"Classes",1363,"250-500","100-250","20-50","Satisfied","Once you make friends initially, it is hard to expand out of that circle."
"204",1219,"Grays Hall","Female","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No",25,"Dorm",1159,"Same high school",882,"Pre-Orientation",1207,"Dorm",662,"100-250","50-100","0-20","Neutral",NA
"205",1104,"Thayer Hall","Female","Asian / Pacific Islander","No","No","FCU - Fall Clean-Up with Dorm Crew","No",1076,"Classes, Cultural/Racial Organization",16,"Classes, Pre-Orientation",901,"Pre-Orientation",668,"Pre-Orientation",1654,"50-100","50-100","0-20","Neutral",NA
"206",260,"Greenough Hall","Female","Asian / Pacific Islander","No","No","FCU - Fall Clean-Up with Dorm Crew","No",1382,"Pre-Orientation",1212,"Pre-Orientation",40,"Classes, Mutual Friends",1520,"Classes, Public Service Organization",1575,"50-100","0-50","0-20","Satisfied",NA
"207",809,"Wigglesworth Hall","Female","Hispanic or Latino","No","No","FYRE - First-Year Retreat and Experience, FCU - Fall Clean-Up with Dorm Crew","No",248,"Dorm",233,"Classes",282,"Dorm",465,"Dorm",1575,"50-100","50-100","0-20","Dissatisfied",NA
"208",1092,"Thayer Hall","Female","Asian / Pacific Islander","No","No","None","No",902,"Visitas",266,"Cultural/Racial Organization, Religious Organization, Visitas",1166,"Dorm",1150,"Mutual Friends, Cultural/Racial Organization, Religious Organization",1575,"250-500","100-250","20-50","Satisfied","I believe Harvard builds community really well, especially for first-years. Having all first-years eat in one dining hall really builds up the freshman community. Our entryways and dorms also provide us with a community right when we arrive on campus. I'm grateful for how attentive Harvard is in helping first-years meet new people."
"209",422,"Canaday Hall","Female","White","Yes","No","FYRE - First-Year Retreat and Experience","No",1281,"Classes",1149,"fellow veteran",1015,"Fellow Veteran",1533,"Classes",1654,"50-100","0-50","250-500","Dissatisfied","It is harder to connect and feel connected to fellow freshmen when you are older and have experience outside of the normal routine of graduating high school and heading into college right after.H"
"210",224,"Straus Hall","Female","White","No","No","None","No",1362,"Classes, Social Events, Mutual Friends",1541,"Classes, Social Events, Mutual Friends",1237,"Classes, Social Events, Mutual Friends",1365,"Social Events, Mutual Friends, Creative/Performing Arts Organization",1134,"250-500","100-250","50-100","Satisfied",NA
"211",266,"Thayer Hall","Male","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No",1421,"Classes, Pre-Orientation, Social Events, Mutual Friends, Social Media, Academic/Pre-Professional Organization, Cultural/Racial Organization",1092,"Classes, Social Events, Mutual Friends, Social Media, Cultural/Racial Organization, Visitas",1637,"Classes, Social Events, Mutual Friends, Social Media, Cultural/Racial Organization, New each other before college",462,"Classes, Dorm, Social Events, Social Media",1575,"100-250","50-100","0-20","Neutral","Its self-segregated"
"212",1158,"Greenough Hall","Female","Black or African American","No","No","None","Yes (Club)",1654,"Mutual Friends",696,"Visitas",539,"Visitas",25,"Mutual Friends",1011,"100-250","50-100","20-50","Satisfied","Although a bit clique-y sometimes, I think the social environment is pretty good."
"213",969,"Pennypacker Hall","Male","White, Asian / Pacific Islander","No","No","FCU - Fall Clean-Up with Dorm Crew","Yes (Intermural)",741,"Classes, Dorm, Mutual Friends",75,"Dorm",271,"Dorm",890,"Pre-Orientation",1512,"100-250","50-100","20-50","Satisfied",NA
"214",1425,"Holworthy Hall","Female","White","No","No","FCU - Fall Clean-Up with Dorm Crew","No",1031,"Pre-Orientation",543,"Pre-Orientation",329,"Pre-Orientation",1189,"High school",1575,"250-500","100-250","20-50","Satisfied",NA
"215",443,"Canaday Hall","Female","White, Hispanic or Latino","No","No","FOP - First-Year Outdoor Program","No",1520,"Social Events, Religious Organization",40,"Classes",829,"Classes",530,"Classes",1575,"100-250","100-250","50-100","Very Satisfied",NA
